;AAPL UW Equity;UNH UN Equity;HD UN Equity;MSFT UW Equity;MCD UN Equity;V UN Equity;GS UN Equity;BA UN Equity;MMM UN Equity;JNJ UN Equity;CAT UN Equity;PG UN Equity;WMT UN Equity;DIS UN Equity;IBM UN Equity;TRV UN Equity;NKE UN Equity;JPM UN Equity;AXP UN Equity;CVX UN Equity;MRK UN Equity;RTX UN Equity;VZ UN Equity;INTC UW Equity;KO UN Equity;DOW UN Equity;CSCO UW Equity;XOM UN Equity;WBA UW Equity;PFE UN Equity;AAPL UW Equity;UNH UN Equity;HD UN Equity;MSFT UW Equity;MCD UN Equity;V UN Equity;GS UN Equity;BA UN Equity;MMM UN Equity;JNJ UN Equity;CAT UN Equity;PG UN Equity;WMT UN Equity;DIS UN Equity;IBM UN Equity;TRV UN Equity;NKE UN Equity;JPM UN Equity;AXP UN Equity;CVX UN Equity;MRK UN Equity;RTX UN Equity;VZ UN Equity;INTC UW Equity;KO UN Equity;DOW UN Equity;CSCO UW Equity;XOM UN Equity;WBA UW Equity;PFE UN Equity;AAPL UW Equity;UNH UN Equity;HD UN Equity;MSFT UW Equity;MCD UN Equity;V UN Equity;GS UN Equity;BA UN Equity;MMM UN Equity;JNJ UN Equity;CAT UN Equity;PG UN Equity;WMT UN Equity;DIS UN Equity;IBM UN Equity;TRV UN Equity;NKE UN Equity;JPM UN Equity;AXP UN Equity;CVX UN Equity;MRK UN Equity;RTX UN Equity;VZ UN Equity;INTC UW Equity;KO UN Equity;DOW UN Equity;CSCO UW Equity;XOM UN Equity;WBA UW Equity;PFE UN Equity;AAPL UW Equity;UNH UN Equity;HD UN Equity;MSFT UW Equity;MCD UN Equity;V UN Equity;GS UN Equity;BA UN Equity;MMM UN Equity;JNJ UN Equity;CAT UN Equity;PG UN Equity;WMT UN Equity;DIS UN Equity;IBM UN Equity;TRV UN Equity;NKE UN Equity;JPM UN Equity;AXP UN Equity;CVX UN Equity;MRK UN Equity;RTX UN Equity;VZ UN Equity;INTC UW Equity;KO UN Equity;DOW UN Equity;CSCO UW Equity;XOM UN Equity;WBA UW Equity;PFE UN Equity;AAPL UW Equity;UNH UN Equity;HD UN Equity;MSFT UW Equity;MCD UN Equity;V UN Equity;GS UN Equity;BA UN Equity;MMM UN Equity;JNJ UN Equity;CAT UN Equity;PG UN Equity;WMT UN Equity;DIS UN Equity;IBM UN Equity;TRV UN Equity;NKE UN Equity;JPM UN Equity;AXP UN Equity;CVX UN Equity;MRK UN Equity;RTX UN Equity;VZ UN Equity;INTC UW Equity;KO UN Equity;DOW UN Equity;CSCO UW Equity;XOM UN Equity;WBA UW Equity;PFE UN Equity
29.12.1995;156;#N/A N/A;-460,834;1313;-7;#N/A N/A;#N/A N/A;-649;479;472;656;231;1105;-45;985;283,705;-73,964;#N/A N/A;-956;243;811,2;236;566,9001;826;#N/A N/A;#N/A N/A;55,214;1270;-62,327;451,5;187;166,79;-125,391;1401;676;#N/A N/A;#N/A N/A;-558;759;948;738;788;1839;969;3843;301,255;-30,429;#N/A N/A;-833;1344;1152,3;530;1064,8;1806;814;#N/A N/A;98,852;3573;14,002;654,8;-31;#N/A N/A;-335,443;#N/A N/A;-683;#N/A N/A;#N/A N/A;-91;#N/A N/A;#N/A N/A;#N/A N/A;#N/A N/A;-1122;-201,5;-2858;-17,55;#N/A N/A;#N/A N/A;-123;#N/A N/A;-341,1;-294;#N/A N/A;-980;#N/A N/A;#N/A N/A;#N/A N/A;-2303;#N/A N/A;#N/A N/A;#N/A N/A;#N/A N/A;#N/A N/A;#N/A N/A;#N/A N/A;#N/A N/A;#N/A N/A;#N/A N/A;#N/A N/A;#N/A N/A;#N/A N/A;#N/A N/A;#N/A N/A;#N/A N/A;#N/A N/A;#N/A N/A;#N/A N/A;#N/A N/A;#N/A N/A;#N/A N/A;#N/A N/A;#N/A N/A;#N/A N/A;#N/A N/A;#N/A N/A;#N/A N/A;#N/A N/A;#N/A N/A;#N/A N/A;#N/A N/A;-31;#N/A N/A;-335,443;-88;-683;#N/A N/A;#N/A N/A;-91;-280;-476;-82;-557;-734;-1014;-2858;-17,55;-43,535;#N/A N/A;-123;-1101;-341,1;-294;-497,9;-980;#N/A N/A;#N/A N/A;-43,638;-2303;-76,329;-203,3
29.03.1996;-373;139,986;345,952;773;7,2;#N/A N/A;#N/A N/A;251;284;694;151;848;907;659;561;205,78;-33,478;#N/A N/A;766;447;918;204;710,6;753;546;#N/A N/A;220,191;2664;133,551;86;-364;162,001;625,035;905;474,3;#N/A N/A;#N/A N/A;411;516;913;267;1331;1640;994;1161;211,877;17,029;#N/A N/A;854;1103;1183,6;333;1170;1585;691;#N/A N/A;289,731;4077;216,386;221;-9;-22,015;-335,443;#N/A N/A;-683;#N/A N/A;#N/A N/A;-160;#N/A N/A;#N/A N/A;#N/A N/A;#N/A N/A;-733;-201,5;-1735;-6,097;#N/A N/A;#N/A N/A;-123;#N/A N/A;-341,1;-294;#N/A N/A;-980;#N/A N/A;#N/A N/A;#N/A N/A;-1413;#N/A N/A;#N/A N/A;#N/A N/A;#N/A N/A;#N/A N/A;#N/A N/A;#N/A N/A;#N/A N/A;#N/A N/A;#N/A N/A;#N/A N/A;#N/A N/A;#N/A N/A;#N/A N/A;#N/A N/A;#N/A N/A;-732;#N/A N/A;#N/A N/A;#N/A N/A;#N/A N/A;#N/A N/A;#N/A N/A;#N/A N/A;#N/A N/A;#N/A N/A;#N/A N/A;#N/A N/A;#N/A N/A;#N/A N/A;#N/A N/A;#N/A N/A;-9;-22,015;-279,083;-132;-467,1;#N/A N/A;#N/A N/A;-160;-232;-219;-116;-483;-733;-335;-600;-6,097;-50,507;#N/A N/A;-88;-656;-265,6;-129;-459,4;-832;-145;#N/A N/A;-69,54;-1413;-82,835;-135
28.06.1996;274;-160,401;-16,559;755;29,1;#N/A N/A;#N/A N/A;643;279;454;397;998;143;1351;458;135,515;3,898;#N/A N/A;3718;787;790,4;527;201;1465;719;#N/A N/A;308,221;1137;-7,581;324;289;-107,704;236,712;913;546,5;#N/A N/A;#N/A N/A;846;534;730;562;1702;805;1835;1582;143,128;220,282;#N/A N/A;3796;1664;1101,7;705;714,2;2237;954;#N/A N/A;439,472;2983;76,465;502;-15;-52,697;-335,443;#N/A N/A;-683;#N/A N/A;#N/A N/A;-203;#N/A N/A;#N/A N/A;#N/A N/A;#N/A N/A;-662;-201,5;-1735;-7,613;-216,384;#N/A N/A;-123;#N/A N/A;-341,1;-294;#N/A N/A;-980;-235;#N/A N/A;#N/A N/A;-1413;#N/A N/A;#N/A N/A;#N/A N/A;#N/A N/A;#N/A N/A;#N/A N/A;#N/A N/A;#N/A N/A;#N/A N/A;#N/A N/A;#N/A N/A;#N/A N/A;#N/A N/A;#N/A N/A;#N/A N/A;#N/A N/A;-732;#N/A N/A;#N/A N/A;#N/A N/A;#N/A N/A;#N/A N/A;#N/A N/A;#N/A N/A;#N/A N/A;#N/A N/A;#N/A N/A;#N/A N/A;#N/A N/A;#N/A N/A;#N/A N/A;#N/A N/A;-15;-52,697;-253,271;-158;-517,4;#N/A N/A;#N/A N/A;-203;-255;-276;-165;-704;-662;-484;-1124;-7,613;-216,384;#N/A N/A;-78;-877;-311,3;-178;-513,2;-772;-235;#N/A N/A;-131,251;-1846;-84,046;-178
30.09.1996;395;291,408;-78,616;684;87;#N/A N/A;#N/A N/A;2133;75;999;262;1043;-304;276;2058;388,427;-52,847;#N/A N/A;-888;189;984,5999;344;1038,5;1034;900;#N/A N/A;440,611;1298;-16,962;392;407;327,548;263,72;783;701,7;#N/A N/A;#N/A N/A;2454;347;1305;459;1443;518;827;3230;399,581;21,413;#N/A N/A;-755;1020;1247,2;511;4215,5;1664;1202;#N/A N/A;528,669;3140;104,414;589;-12;-36,14;-335,443;#N/A N/A;-683;#N/A N/A;#N/A N/A;-321;#N/A N/A;#N/A N/A;#N/A N/A;#N/A N/A;-822;-551;-1735;-11,154;-216,384;#N/A N/A;-123;#N/A N/A;-341,1;-294;#N/A N/A;-980;-302;#N/A N/A;#N/A N/A;-1842;#N/A N/A;#N/A N/A;#N/A N/A;#N/A N/A;#N/A N/A;#N/A N/A;#N/A N/A;#N/A N/A;#N/A N/A;#N/A N/A;#N/A N/A;#N/A N/A;#N/A N/A;#N/A N/A;#N/A N/A;#N/A N/A;-732;#N/A N/A;#N/A N/A;#N/A N/A;#N/A N/A;#N/A N/A;#N/A N/A;#N/A N/A;#N/A N/A;#N/A N/A;#N/A N/A;#N/A N/A;#N/A N/A;#N/A N/A;#N/A N/A;#N/A N/A;-12;-36,14;-342,336;-99;-614,7;#N/A N/A;#N/A N/A;-321;-272;-306;-197;-400;-822;-551;-1172;-11,154;-74,26;#N/A N/A;-133;-831;-262,6;-167;-3177;-630;-302;#N/A N/A;-88,058;-1842;-121,376;-197
31.12.1996;72;126,043;-345,089;1101;-37,6;#N/A N/A;#N/A N/A;-387;464;371;466;732;2541;134;1315;298,162;-9,716;#N/A N/A;905;950;1537,9999;226;436;2467;-374;#N/A N/A;-52,712;854;9,72;491;92;180,414;-25,357;1218;738,5;#N/A N/A;#N/A N/A;-100;814;943;494;1179;2967;1985;4302;303,724;103,603;#N/A N/A;1044;2010;1895,2;546;2681,1001;3257;616;#N/A N/A;28,602;2962;104,232;755;-468;-54,371;-319,732;#N/A N/A;-776,1;#N/A N/A;#N/A N/A;-287;#N/A N/A;-572;#N/A N/A;#N/A N/A;-426;-551;-2987;-11,154;-216,384;#N/A N/A;-139;-1060;-357,2;-320;#N/A N/A;-980;-990;#N/A N/A;#N/A N/A;-2108;#N/A N/A;-264;-2;#N/A N/A;#N/A N/A;#N/A N/A;#N/A N/A;#N/A N/A;#N/A N/A;#N/A N/A;#N/A N/A;#N/A N/A;#N/A N/A;#N/A N/A;#N/A N/A;#N/A N/A;-732;#N/A N/A;#N/A N/A;#N/A N/A;#N/A N/A;#N/A N/A;#N/A N/A;#N/A N/A;#N/A N/A;#N/A N/A;#N/A N/A;#N/A N/A;#N/A N/A;#N/A N/A;#N/A N/A;#N/A N/A;-20;-54,371;-319,732;-117;-776,1;#N/A N/A;#N/A N/A;-287;-350;-572;-28;-447;-426;-1851;-2987;-5,562;-113,319;#N/A N/A;-139;-1060;-357,2;-320;-2245,1001;-790;-990;#N/A N/A;-81,314;-2108;-94,512;-264
31.03.1997;82;-12,784;454,593;1508;77,5;#N/A N/A;#N/A N/A;275;86;892;187;912;771;197;-704;48,497;-198,214;#N/A N/A;1274;318;1231,4;348;515,3;1433;695;#N/A N/A;299,71;3074;91,222;56;100;20,036;720,444;1618;531,9;#N/A N/A;#N/A N/A;568;382;1092;340;1387;1283;1672;349;64,288;-68,213;#N/A N/A;1329;1030;1493;509;1963,5;2222;904;#N/A N/A;400,578;4566;171,518;267;39;-162,989;-235,224;#N/A N/A;-489,3;#N/A N/A;#N/A N/A;-260;-298;-405;-500;#N/A N/A;-681;-551;-1074;-54,109;-216,384;#N/A N/A;-139;-326;-342,3;-110;-1693,9;-1685;552;#N/A N/A;#N/A N/A;-1105;#N/A N/A;-331;-42;10,202;-17,052;#N/A N/A;-72,7;#N/A N/A;#N/A N/A;-141;-294;-508;191;#N/A N/A;-759;#N/A N/A;-1003;-9,01;#N/A N/A;#N/A N/A;#N/A N/A;-211;-766,5;-261;-261,3;-878;-954;#N/A N/A;#N/A N/A;-899;#N/A N/A;144;-18;-32,82;-265,851;-110;-454,4;#N/A N/A;#N/A N/A;-293;-296;-200;-153;-475;-512;-1475;-1053;-15,791;-130,001;#N/A N/A;-55;-712;-261,6;-161;-1448,2;-789;-209;#N/A N/A;-100,868;-1492;-80,296;-211
30.06.1997;-210;55,484;-107,665;897;-58,6;#N/A N/A;#N/A N/A;935;181;604;281;1066;561;186;1094;120,032;117,989;#N/A N/A;997;299;902;394;226;942;961;#N/A N/A;424,217;1653;115,873;201;-204;112,464;211,33;1070;443,9;#N/A N/A;#N/A N/A;1188;541;864;503;1873;1227;1930;2585;174,932;266,317;#N/A N/A;1123;1247;1214,1;583;1852,6;1911;1224;#N/A N/A;484,274;3553;230,125;410;-48;-427,411;-332,235;-173;-492,2;#N/A N/A;#N/A N/A;-202;-325;-327;-941;#N/A N/A;-538;-5476;-1686;-114,172;-148,328;#N/A N/A;-139;-730;-1012,6;-190;-1432,9;-313;-457;#N/A N/A;#N/A N/A;-2018;#N/A N/A;-249;-2;21,298;-20,011;#N/A N/A;50,7;#N/A N/A;#N/A N/A;-115;-198;-490;477;#N/A N/A;-485;-177;-355;-43,285;#N/A N/A;#N/A N/A;#N/A N/A;-622;-351,1;-245;-491,5;-1420;-150;#N/A N/A;#N/A N/A;-2105;#N/A N/A;123;-6;-56,98;-318,995;-173;-502,5;#N/A N/A;#N/A N/A;-253;-360;-260;-222;-807;-666;-1744;-1491;-54,9;-148,328;#N/A N/A;-126;-948;-312,1;-189;-1626,6;-969;-263;#N/A N/A;-60,057;-1900;-114,252;-209
30.09.1997;187;-10;-184,417;1563;257,3;#N/A N/A;#N/A N/A;-438;297;993;559;629;22;186;826;351,749;28,68;#N/A N/A;1657;241;1237,7;366;390,1001;1241;1012;#N/A N/A;643,066;2119;-51,815;95;198;32,4;215,652;1680;744,4;#N/A N/A;#N/A N/A;22;643;1294;819;1172;738;1477;2157;387,738;137,362;#N/A N/A;1725;1250;1653,5;538;4057,8;2400;1316;#N/A N/A;706,391;4088;144,125;279;-56;-204,7;-254,687;-1191;-564,7;#N/A N/A;#N/A N/A;-721;658;-230;-726;-2208;-1373;-5476;-1676;-517,598;-145,954;#N/A N/A;-139;-1053;262,2;-294;-3641,7;-1327;168;#N/A N/A;-692,657;-2139;-195,94;-170;70;6,3;23,97;-234;-171,7;#N/A N/A;#N/A N/A;-396;-1386;-307;137;745;433;-177;-1058;105,634;-33,742;#N/A N/A;#N/A N/A;-486;-2220,8999;-374;-301,1;-90;-1926;#N/A N/A;94,854;-1888;#N/A N/A;-433;-11;-42,4;-400,069;-117;-487,1;#N/A N/A;#N/A N/A;-460;-346;-301;-260;-543;-716;-1744;-1331;-35,989;-108,682;#N/A N/A;-68;-1009;-415,8;-172;-3667,7;-1159;-304;#N/A N/A;-63,325;-1969;-195,94;-184
31.12.1997;136;463,3;-614,511;1513;43,9;#N/A N/A;#N/A N/A;-63;-264;463;245;135;3133;684;856;129,93;18,375;#N/A N/A;899;-196;1496,7;163;1212,7999;1891;272;#N/A N/A;383,821;568;-163;171;143;518,1;-118,426;1664;722,1;#N/A N/A;#N/A N/A;322;140;1093;434;663;3875;1171;3774;148,6;151,692;#N/A N/A;993;1034;1956;460;2858,2;3475;589;#N/A N/A;460,926;2661;-15;468;-181;-208,9;-148,854;-2694;-671;#N/A N/A;#N/A N/A;-1067;-392;-652;-374;-1358;-1829;-1504;-1719;-517,598;-152,181;#N/A N/A;-94;-454;-510;-573;-2644,8;-3534;-763;#N/A N/A;-462,328;-1590;-85;-236;1;-3,8;-18,907;-349;-19,9;#N/A N/A;#N/A N/A;-247;176;-682;-555;-59;-1327;903;-875;105,634;-262,912;#N/A N/A;#N/A N/A;-556;-1602,7;-386;-206,4;-824;-199;#N/A N/A;100,133;-1805;41;-545;-7;-54,8;-496,085;-151;-678,2;#N/A N/A;#N/A N/A;-385;-404;-630;-189;-528;-742;-487;-2918;-18,67;-133,317;#N/A N/A;-94;-1230;-459,3;-297;-1645,4;-1584;-317;#N/A N/A;-77,105;-2093;-148;-297
31.03.1998;148;21;636;1955;119,5;#N/A N/A;-2506;-102;37;984;-97;874;98;684;-137;-7;-238,432;#N/A N/A;1387;-353;1209,4001;441;543,5;940;326;#N/A N/A;675,303;1336;57;-32;153;62;1060;2102;521,4;#N/A N/A;-2403;388;375;1199;108;1465;858;1366;941;10;-128,321;#N/A N/A;1454;377;1524,8;547;2202,8;2069;511;#N/A N/A;817,029;3015;238;158;-72;-142;-669;-1428;-431,4;#N/A N/A;#N/A N/A;-566;-401;-370;-1765;-689;-726;-1051;-1413;57;-120,702;#N/A N/A;-94;-622;-569;-392;-1715,2;-1132;-485;#N/A N/A;-267,208;-1147;-177;159;11;-2;15;854;-77,6;#N/A N/A;#N/A N/A;-150;-24;-689;1671;-617;-808;-605;-1139;-49;259,617;#N/A N/A;#N/A N/A;495;-484,299;-191;-406,5;34;125;#N/A N/A;143,837;-2075;-40;-178;-5;-41;-424;-147;-401,9;#N/A N/A;-103;-490;-338;-215;-205;-591;-760;-487;-1078;-17;-110,111;#N/A N/A;-67;-730;-315,4;-106;-1659,3;-1129;-185;#N/A N/A;-141,726;-1679;-181;-190
30.06.1998;139;106;80;1193;218,4;#N/A N/A;-34845;-658;18;691;-7;688;481;158;1074;-64;202,977;#N/A N/A;2403;98;595,8;531;845,3999;-673;911;#N/A N/A;763,482;822;69;782;156;155;547;1434;674;#N/A N/A;-34751;-312;392;1003;266;1585;1347;1305;2399;-29;356,767;#N/A N/A;2469;1085;1053,1;657;2669,8999;404;1136;#N/A N/A;896,169;2829;202;1053;-217;-143;-457;-1959;-486,3;#N/A N/A;#N/A N/A;-353;-367;-349;-1967;-955;-1029;-1505;-1448;162;-176,163;#N/A N/A;-94;-985;-663,3;-374;-1850,4;-1785;-293;#N/A N/A;-1671,912;-1916;-129;-437;-21;-17;-14;254;-216,6;#N/A N/A;#N/A N/A;-273;14;-433;1616;-545;-205;456;-1362;-135;-222,263;#N/A N/A;#N/A N/A;-180;-561,5;-261;-920,3;-1805;-704;#N/A N/A;139,81;-2065;3;-546;-17;-49;-467;-241;-455,6;#N/A N/A;-94;-346;-374;-312;-273;-897;-866;-1147;-1325;-35;-153,79;#N/A N/A;-66;-987;-457,3;-126;-1824,5;-1077;-225;#N/A N/A;-132,687;-2007;-133;-271
30.09.1998;306;194;-165;2478;309,3;#N/A N/A;17854;-282;387;1006;689;751;-556;536;1629;231;283,3;#N/A N/A;783;461;961,7;407;540,2;2266;755;#N/A N/A;721;1359;-33;261;323;216;430;2584;802;#N/A N/A;18002;95;731;1327;970;1191;470;1273;3201;240;368,9;#N/A N/A;887;1618;1486,5;578;2477,7;2988;957;#N/A N/A;846;3508;146;587;-73;355;-591;-1872;-482,5;#N/A N/A;#N/A N/A;-289;-356;-283;-467;-233;-875;-1605;-1625;-268;-98;#N/A N/A;-94;-1002;1237,8;-896;-1842,7;-421;-346;#N/A N/A;-558;-2486;-111;1467;28;-209;22;640;-340,1;#N/A N/A;#N/A N/A;-525;-390;-416;-489;33;529;-394;-1107;40;-211,7;#N/A N/A;#N/A N/A;-649;-1719,9;235;-317,3;-1554;-892;#N/A N/A;140;-1488;-2;-420;-17;-22;-595;-106;-492,7;#N/A N/A;-148;-377;-344;-321;-281;-440;-1026;-737;-1572;-9;-85,6;#N/A N/A;-104;-1157;-524,8;-171;-1937,5;-722;-202;#N/A N/A;-125;-2149;-179;-326
31.12.1998;218;540;-693;2016;236,7;#N/A N/A;19083;1825;502;669;-76;104;3823;124;187;-178;214,1;#N/A N/A;-551;-265;-427,1;262;695,3;3101;578;#N/A N/A;687;189;-134,6;496;223;638;-120;2151;768,9;#N/A N/A;19214;2196;876;1366;434;794;4905;1124;2732;-152;302,1;#N/A N/A;-397;836;248,8;576;2720,5;3730;829;#N/A N/A;844;7084;11,2;907;-486;-49;-554;-2048;-548;#N/A N/A;-131;-1618;-448;-5063;-381;-395;-1788;-1465;-1645;-268;-97;#N/A N/A;-94;-1435;-16,9;-466;-2276,6001;-3168;-1037;#N/A N/A;-597;-6433;-144,4;-1524;3;30;221;819;-226;#N/A N/A;#N/A N/A;-830;-421;1863;72;-845;-2246;1408;-1265;40;-118,4;#N/A N/A;#N/A N/A;16;-1070,063;-123;-827,6;-1424;110;#N/A N/A;247;-1485;102;-554;-5;-98;-573;-135;-532,2;#N/A N/A;-131;-371;-374;-697;-510;-690;-1082;-1000;-2545;-26;-88;#N/A N/A;-154;-1101;-675,9;-314;-2025,2;-629;-251;#N/A N/A;-157;-6895;-145,8;-411
31.03.1999;250;75;753;2634;353,4;#N/A N/A;-47335;436;539;811;-273;838;436;795;919;34;-148,8;#N/A N/A;1367;-6;1491,6;277;775;2226;109;#N/A N/A;1106;403;221,2;-476;269;122;1303;2684;716,9;#N/A N/A;-47272;786;828;1145;-61;1642;1546;1420;1876;77;-57;#N/A N/A;1565;791;1967,6;406;2486;2901;337;#N/A N/A;1209;3060;364,5;-124;-165;10;-534;-3723;-644;#N/A N/A;-131;-361;-329;-726;-315;-1012;-1082;-1045;-961;-257;-106,9;#N/A N/A;-94;-776;-1841;-186;-998;-1329;-512;#N/A N/A;-2166;-2301;-118,7;-1023;33;-407;-227;1129;188,1;#N/A N/A;#N/A N/A;-210;-457;-572;260;-469;-376;-771;-1435;208;37,2;#N/A N/A;#N/A N/A;-46;-940,2;-113;-1357;-1107;120;#N/A N/A;293;-814;-95,6;761;-19;-47;-550;-50;-363,5;#N/A N/A;-63;-350;-289;-334;-212;-804;-1110;-625;-957;-43;-91,8;#N/A N/A;-198;-797;-476;-129;-1711;-675;-228;#N/A N/A;-103;-2657;-143,3;-352
30.06.1999;81;216;-79;2319;348,1;#N/A N/A;45653;1555;661;926;437;1023;-69;1256;446;-142;228,3;#N/A N/A;2759;355;658,7;434;281;843;1110;#N/A N/A;1209;387;-49,9;482;88;266;567;2611;765,9;#N/A N/A;45786;2267;885;1274;680;1917;1172;1908;1644;-112;347;#N/A N/A;2893;1199;1271,9;597;2210;1609;1414;#N/A N/A;1426;3461;144,9;1233;322;-212;-669;-3548;-320,2;#N/A N/A;10;-700;-24;-306;-1513;-535;-3998;-1459;1490;-129;-114,6;#N/A N/A;-94;-571;1062,3;-2172;-2509;1056;-954;#N/A N/A;-1664;-2970;-187,3;-961;5;-193;16;-291;-598,1;#N/A N/A;2245;-973;-856;-689;914;-1343;2367;-388;-2524;219;-162,1;#N/A N/A;#N/A N/A;-414;-1858,9;1803;163;-1569;160;#N/A N/A;274;-647;34,2;-188;-7;-50;-646;-292;-417,8;#N/A N/A;-133;-712;-224;-348;-243;-894;-1241;-652;-1198;-30;-118,7;#N/A N/A;-134;-844;-613,2;-163;-1929;-766;-304;#N/A N/A;-217;-3074;-194,8;-751
30.09.1999;202;253;-94;2718;292;#N/A N/A;-3993;1354;485;1651;838;663;-619;1136;2022;171;30,4;#N/A N/A;1508;-204;900,4;2557;533;2955;889;#N/A N/A;931;1757;-80,6;1404;218;307;504;2857;890,3;#N/A N/A;-3821;2396;699;2070;1127;1347;1043;1136;3240;196;316,1;#N/A N/A;1701;1644;1550,8;2750;2709;3937;1145;#N/A N/A;1132;4240;131,6;2057;-635;-453;-613;-2772;-680,3;#N/A N/A;-53;-727;-169;-636;-483;-3214;-9765;-1341;-1088;28;-288,4;#N/A N/A;-94;-1447;-1098,1;-761;-1955;-3269;-1475;#N/A N/A;-1041;-2692;-204,6;-1947;-29;-111;537;-271;-193;#N/A N/A;4620;-2349;-486;-880;-686;1696;8649;-240;-3035;-201;0,4;#N/A N/A;#N/A N/A;-246;-617,2;-1759;-722;-755;-381;#N/A N/A;307;-1408;-40,6;-875;-16;-54;-598;-139;-598,3;#N/A N/A;-172;-1042;-214;-419;-289;-684;-1662;0;-1218;-25;-285,7;#N/A N/A;-193;-1848;-650,4;-193;-2176;-982;-256;#N/A N/A;-201;-2483;-212,2;-653
31.12.1999;335;449;-715;1916;91,4;#N/A N/A;-7570;2529;314;587;288;-610;2263;413;765;-289;190,4;#N/A N/A;1014;-30;519,5;439;2415;1908;706;#N/A N/A;1352;2082;-266,7;841;373;494;72;2148;635,8;#N/A N/A;-7282;2693;626;1308;824;158;4433;958;3351;-211;263,3;#N/A N/A;1226;847;1340,4;716;9612;2888;987;#N/A N/A;1565;7156;-50,1;1298;-89;32;-806;-137;-617,3;#N/A N/A;-288;-741;-592;-1345;-709;-957;-2001;109;-1110;28;-68,5;#N/A N/A;-212;-286;-940,2;-1292;-11958;-1908;-480;#N/A N/A;506;-5778;-166,7;-182;-24;106;-44;-1768;-23,8;#N/A N/A;4620;-1271;51;-284;150;720;-2011;-489;-1780;-201;-168;#N/A N/A;#N/A N/A;81;-481,7;418;3648;-797;-398;#N/A N/A;368;-1786;87;-1299;-38;-45;-787;-232;-544,4;#N/A N/A;-288;-164;-312;-721;-536;-768;-2170;-545;-2586;-78;-72,9;#N/A N/A;-212;-877;-820,9;-277;-7197;-980;-281;#N/A N/A;-213;-5074;-216,6;-457
31.03.2000;34;317;1050;2023;288,4;#N/A N/A;-5209;-1166;329;1466;-90;773;-849;681;283;-203;108,1;#N/A N/A;2535;415;1579,6;377;1325;2207;-58;#N/A N/A;1528;3721;101,9;-402;61;366;1723;2269;667,1;#N/A N/A;-4917;-961;573;1776;-90;1407;881;1070;995;-188;437,7;-11883;2710;1327;2083,9;526;4474;3281;169;#N/A N/A;1785;5490;376,4;52;-15;-286;-686;-4336;-417,4;#N/A N/A;-241;426;-233;-335;340;-351;-2319;-381;-384;28;-348,8;#N/A N/A;-212;-696;-391,9;-393;-5067;-100;-395;#N/A N/A;-2338;858;-270,4;-1081;30;-409;-3;2227;-301,2;#N/A N/A;4935;-191;-513;-1141;-120;-1136;942;-821;-2369;-201;365;#N/A N/A;#N/A N/A;-791;-1491,2;-433;-736;-672;1069;#N/A N/A;541;-5108;-106,2;31;-27;-49;-673;-246;-378,7;#N/A N/A;-292;-205;-244;-310;0;-634;-1730;-389;-712;-15;-329,6;#N/A N/A;-175;-912;-504,3;-149;-3149;-1074;-227;#N/A N/A;-257;-1769;-274,5;-454
30.06.2000;223;341;-320;3890;192,2;#N/A N/A;-5129;2853;358;1154;547;831;-832;421;631;-273;288,3;#N/A N/A;3177;1545;980;444;697;1904;870;#N/A N/A;1244;3932;-150,4;655;234;380;573;4152;667,8;#N/A N/A;-4838;3100;580;1534;1198;1763;1162;856;1490;-236;288,3;13488;3369;2511;1673,7;621;8329;3156;1062;#N/A N/A;1659;5964;627,5;1244;-505;-180;-856;-2147;-545,8;#N/A N/A;-121;-432;-550;-421;-1776;-823;-1921;-283;-1022;28;15,4;#N/A N/A;-212;-829;-1221,3;-329;-7595;-1135;-524;#N/A N/A;-1504;-751;-710,6;-362;-47;-37;21;-2351;-78,9;#N/A N/A;11095;-524;176;-804;499;-1489;709;-743;-766;-201;-208,8;#N/A N/A;#N/A N/A;-1765;130,9;-136;-1421;-917;-149;#N/A N/A;341;-2328;-11,7;-652;-11;-39;-893;-262;-475,6;#N/A N/A;-291;-247;-222;-380;-651;-932;-1994;-435;-859;-37;0;#N/A N/A;-192;-966;-693,7;-177;-7632;-1252;-192;#N/A N/A;-415;-2032;-777,9;-589
29.09.2000;127;163;-578;2715;354,5;#N/A N/A;4323;1540;408;1770;431;454;-352;1515;1133;-62;106,3;#N/A N/A;-140;1694;856,7;401;165;1087;1196;#N/A N/A;839;3373;-24,2;1767;158;221;497;2960;801,2;#N/A N/A;4730;1705;615;2151;552;1081;1770;1539;2063;-38;175,9;-18617;193;2714;1569;675;12045;3012;1348;#N/A N/A;1363;5408;317;2249;-321;-357;-1089;-3936;-495,3;#N/A N/A;-525;-902;-101;-795;-534;-585;-2164;-1326;-1016;28;-63,4;#N/A N/A;-212;-675;-1171,2;-323;-8129;-2942;-17;#N/A N/A;-378;-1810;-326,8;-1917;10;-200;-64;-1229;-367;#N/A N/A;6114;587;-611;-82;23;90;395;-62;-1154;-201;40,3;#N/A N/A;#N/A N/A;-1799;-1668,7;-347;-5121;-944;-1229;#N/A N/A;319;-2767;-24,4;-581;-31;-58;-1075;-245;-446,7;#N/A N/A;-407;-165;-207;-381;-121;-627;-2122;-24;-930;-24;-69,6;#N/A N/A;-333;-1020;-712,3;-274;-11880;-1925;-152;#N/A N/A;-524;-2035;-341,2;-482
