;AAPL UW Equity;UNH UN Equity;HD UN Equity;MSFT UW Equity;MCD UN Equity;V UN Equity;GS UN Equity;BA UN Equity;MMM UN Equity;JNJ UN Equity;CAT UN Equity;PG UN Equity;WMT UN Equity;DIS UN Equity;IBM UN Equity;TRV UN Equity;NKE UN Equity;JPM UN Equity;AXP UN Equity;CVX UN Equity;MRK UN Equity;RTX UN Equity;VZ UN Equity;INTC UW Equity;KO UN Equity;DOW UN Equity;CSCO UW Equity;XOM UN Equity;WBA UW Equity;PFE UN Equity;AAPL UW Equity;UNH UN Equity;HD UN Equity;MSFT UW Equity;MCD UN Equity;V UN Equity;GS UN Equity;BA UN Equity;MMM UN Equity;JNJ UN Equity;CAT UN Equity;PG UN Equity;WMT UN Equity;DIS UN Equity;IBM UN Equity;TRV UN Equity;NKE UN Equity;JPM UN Equity;AXP UN Equity;CVX UN Equity;MRK UN Equity;RTX UN Equity;VZ UN Equity;INTC UW Equity;KO UN Equity;DOW UN Equity;CSCO UW Equity;XOM UN Equity;WBA UW Equity;PFE UN Equity;AAPL UW Equity;UNH UN Equity;HD UN Equity;MSFT UW Equity;MCD UN Equity;V UN Equity;GS UN Equity;BA UN Equity;MMM UN Equity;JNJ UN Equity;CAT UN Equity;PG UN Equity;WMT UN Equity;DIS UN Equity;IBM UN Equity;TRV UN Equity;NKE UN Equity;JPM UN Equity;AXP UN Equity;CVX UN Equity;MRK UN Equity;RTX UN Equity;VZ UN Equity;INTC UW Equity;KO UN Equity;DOW UN Equity;CSCO UW Equity;XOM UN Equity;WBA UW Equity;PFE UN Equity;AAPL UW Equity;UNH UN Equity;HD UN Equity;MSFT UW Equity;MCD UN Equity;V UN Equity;GS UN Equity;BA UN Equity;MMM UN Equity;JNJ UN Equity;CAT UN Equity;PG UN Equity;WMT UN Equity;DIS UN Equity;IBM UN Equity;TRV UN Equity;NKE UN Equity;JPM UN Equity;AXP UN Equity;CVX UN Equity;MRK UN Equity;RTX UN Equity;VZ UN Equity;INTC UW Equity;KO UN Equity;DOW UN Equity;CSCO UW Equity;XOM UN Equity;WBA UW Equity;PFE UN Equity;AAPL UW Equity;UNH UN Equity;HD UN Equity;MSFT UW Equity;MCD UN Equity;V UN Equity;GS UN Equity;BA UN Equity;MMM UN Equity;JNJ UN Equity;CAT UN Equity;PG UN Equity;WMT UN Equity;DIS UN Equity;IBM UN Equity;TRV UN Equity;NKE UN Equity;JPM UN Equity;AXP UN Equity;CVX UN Equity;MRK UN Equity;RTX UN Equity;VZ UN Equity;INTC UW Equity;KO UN Equity;DOW UN Equity;CSCO UW Equity;XOM UN Equity;WBA UW Equity;PFE UN Equity;AAPL UW Equity;UNH UN Equity;HD UN Equity;MSFT UW Equity;MCD UN Equity;V UN Equity;GS UN Equity;BA UN Equity;MMM UN Equity;JNJ UN Equity;CAT UN Equity;PG UN Equity;WMT UN Equity;DIS UN Equity;IBM UN Equity;TRV UN Equity;NKE UN Equity;JPM UN Equity;AXP UN Equity;CVX UN Equity;MRK UN Equity;RTX UN Equity;VZ UN Equity;INTC UW Equity;KO UN Equity;DOW UN Equity;CSCO UW Equity;XOM UN Equity;WBA UW Equity;PFE UN Equity
29.03.1996;2185;2318,11;4362,2148;2205;2426;#N/A N/A;#N/A N/A;7047;3468;5334;3844;8587;22772;4543;16559;1329,891;1582,0389;#N/A N/A;3909;8913;4530,3999;5449;7044;4644;4224;#N/A N/A;1087,056;27164;3179,0891;2682;-975;193,606;318,962;774;558,3;#N/A N/A;#N/A N/A;419;596;1191;444;1193;898;559;1981;;241,189;;856;1006;1133,5;307;1346,2;1305;1033;#N/A N/A;376,572;2325;206,426;809;-740;118,946;195,019;562;301,6;#N/A N/A;#N/A N/A;262;362;790;296;760;571;-25;774;128,821;133,874;#N/A N/A;396;616;863,8;164;963,1;894;713;#N/A N/A;245,649;1885;126,801;517;#N/A N/A;#N/A N/A;#N/A N/A;#N/A N/A;#N/A N/A;#N/A N/A;#N/A N/A;#N/A N/A;#N/A N/A;#N/A N/A;#N/A N/A;#N/A N/A;#N/A N/A;#N/A N/A;#N/A N/A;#N/A N/A;#N/A N/A;#N/A N/A;#N/A N/A;#N/A N/A;#N/A N/A;#N/A N/A;#N/A N/A;#N/A N/A;#N/A N/A;#N/A N/A;#N/A N/A;#N/A N/A;#N/A N/A;#N/A N/A;#N/A N/A;#N/A N/A;#N/A N/A;#N/A N/A;#N/A N/A;#N/A N/A;#N/A N/A;#N/A N/A;#N/A N/A;#N/A N/A;#N/A N/A;#N/A N/A;#N/A N/A;#N/A N/A;#N/A N/A;#N/A N/A;#N/A N/A;#N/A N/A;#N/A N/A;#N/A N/A;#N/A N/A;#N/A N/A;#N/A N/A;#N/A N/A;#N/A N/A;#N/A N/A;#N/A N/A;#N/A N/A;#N/A N/A;#N/A N/A;-929;224,707;371,935;963;744,9;#N/A N/A;#N/A N/A;659;813;1435;618;1517;1246;1572;3195;;264,907;;1510;1537;#N/A N/A;516;1975,1;1716;1145;#N/A N/A;404,775;3697;86,359;910
28.06.1996;2179;2492,1831;5292,917;2255;2665,1001;#N/A N/A;#N/A N/A;9420;3522;5382;4180;8580;25587;5087;18183;1364,474;1831,808;#N/A N/A;4076;9237;4908,7998;6002;7329,3999;4621;5286;#N/A N/A;1292,15;27975;2988,8359;2661;-116;97,475;441,936;810;675;#N/A N/A;#N/A N/A;809;628;1175;560;835;1081;890;2186;;241,566;;945;1022;1331,1;461;1599,2;1515;1382;#N/A N/A;439,372;2282;148,322;635;-32;50,32;270,174;559;420,4;#N/A N/A;#N/A N/A;646;381;791;374;554;706;406;1347;130,053;139,406;#N/A N/A;452;872;972,1;259;829,8;1041;1050;#N/A N/A;276,551;1570;91,575;394;#N/A N/A;#N/A N/A;#N/A N/A;#N/A N/A;#N/A N/A;#N/A N/A;#N/A N/A;#N/A N/A;#N/A N/A;#N/A N/A;#N/A N/A;#N/A N/A;#N/A N/A;#N/A N/A;#N/A N/A;#N/A N/A;#N/A N/A;#N/A N/A;#N/A N/A;#N/A N/A;#N/A N/A;#N/A N/A;#N/A N/A;#N/A N/A;#N/A N/A;#N/A N/A;#N/A N/A;#N/A N/A;#N/A N/A;#N/A N/A;#N/A N/A;#N/A N/A;#N/A N/A;#N/A N/A;#N/A N/A;#N/A N/A;#N/A N/A;#N/A N/A;#N/A N/A;#N/A N/A;#N/A N/A;#N/A N/A;#N/A N/A;#N/A N/A;#N/A N/A;#N/A N/A;#N/A N/A;#N/A N/A;#N/A N/A;#N/A N/A;#N/A N/A;#N/A N/A;#N/A N/A;#N/A N/A;#N/A N/A;#N/A N/A;#N/A N/A;#N/A N/A;#N/A N/A;#N/A N/A;-94;129,404;498,295;954;860;#N/A N/A;#N/A N/A;1065;851;1423;734;1218;1440;2093;3484;;308,597;;1441;1546;#N/A N/A;676;2237,9999;1977;1505;#N/A N/A;506,636;3588;86,359;741
30.09.1996;2321;2587,3579;4921,8311;2295;2773,8;#N/A N/A;#N/A N/A;9009;3623;5402;4033;8903;25644;5291;18062;1476,158;2281,926;#N/A N/A;4056;9522;4983,3999;5908;7376,6001;5142;4687;#N/A N/A;1434,826;29086;2917,7161;2803;6;149,399;361,089;902;701,6;#N/A N/A;#N/A N/A;658;638;1154;449;1547;865;776;1968;;390,27;;890;1141;1346,4;454;1667,2;1927;454;#N/A N/A;487,749;2333;145,542;835;25;91,227;221,371;614;440,6;#N/A N/A;#N/A N/A;466;398;750;310;979;684;337;1285;128,934;226,063;#N/A N/A;458;655;1001,9;254;871,8;1312;967;#N/A N/A;180,942;1560;89,718;514;#N/A N/A;#N/A N/A;#N/A N/A;#N/A N/A;#N/A N/A;#N/A N/A;#N/A N/A;#N/A N/A;#N/A N/A;#N/A N/A;#N/A N/A;#N/A N/A;#N/A N/A;#N/A N/A;#N/A N/A;#N/A N/A;#N/A N/A;#N/A N/A;#N/A N/A;#N/A N/A;#N/A N/A;#N/A N/A;#N/A N/A;#N/A N/A;#N/A N/A;#N/A N/A;#N/A N/A;#N/A N/A;#N/A N/A;#N/A N/A;#N/A N/A;#N/A N/A;#N/A N/A;#N/A N/A;#N/A N/A;#N/A N/A;#N/A N/A;#N/A N/A;#N/A N/A;#N/A N/A;#N/A N/A;#N/A N/A;#N/A N/A;#N/A N/A;#N/A N/A;#N/A N/A;#N/A N/A;#N/A N/A;#N/A N/A;#N/A N/A;#N/A N/A;#N/A N/A;#N/A N/A;#N/A N/A;#N/A N/A;#N/A N/A;#N/A N/A;#N/A N/A;#N/A N/A;#N/A N/A;52;183,308;420,259;1064;876,7;#N/A N/A;#N/A N/A;1100;857;1420;624;1876;1219;1938;3164;;417,282;;1432;1699;#N/A N/A;665;4427,3;2423;693;#N/A N/A;531,494;3640;86,359;937
31.12.1996;2129;2676;4958,54;2680;2821,6001;#N/A N/A;#N/A N/A;9977;3623;5502;4470;9142;30856;6278;23143;1563,6331;2107,0339;#N/A N/A;3859;9908;5406,1001;6153;7405,2002;6440;4476;#N/A N/A;1592,377;32503;3053,979;3160;-124;156;411,663;1081;609,5;#N/A N/A;#N/A N/A;732;629;783;449;1521;1564;1337;2896;;298,953;;825;824;1369,9;559;1466;2806;1046;#N/A N/A;531,754;3118;122,349;801;-120;95;251,175;741;410;#N/A N/A;#N/A N/A;444;385;556;381;944;1095;749;2023;62,291;176,872;#N/A N/A;595;464;1043,5;229;737,3;1910;762;#N/A N/A;338,459;2495;75,019;504;#N/A N/A;#N/A N/A;#N/A N/A;#N/A N/A;#N/A N/A;#N/A N/A;#N/A N/A;#N/A N/A;#N/A N/A;#N/A N/A;#N/A N/A;#N/A N/A;#N/A N/A;#N/A N/A;#N/A N/A;#N/A N/A;#N/A N/A;#N/A N/A;#N/A N/A;#N/A N/A;#N/A N/A;#N/A N/A;#N/A N/A;#N/A N/A;#N/A N/A;#N/A N/A;#N/A N/A;#N/A N/A;#N/A N/A;#N/A N/A;#N/A N/A;#N/A N/A;#N/A N/A;#N/A N/A;#N/A N/A;#N/A N/A;#N/A N/A;#N/A N/A;#N/A N/A;#N/A N/A;#N/A N/A;#N/A N/A;#N/A N/A;#N/A N/A;#N/A N/A;#N/A N/A;#N/A N/A;#N/A N/A;#N/A N/A;#N/A N/A;#N/A N/A;#N/A N/A;#N/A N/A;#N/A N/A;#N/A N/A;#N/A N/A;#N/A N/A;#N/A N/A;#N/A N/A;#N/A N/A;-99;192,227;475,501;1225;805,7;#N/A N/A;#N/A N/A;1035;853;1034;624;1859;1966;2784;4200;;330,14;;1408;1427;#N/A N/A;777;2817,2;3325;1205;#N/A N/A;586,55;4462;86,359;922
31.03.1997;1601;2851,111;5657,2739;3208;2617,6001;#N/A N/A;4932;10359;3714;5715;4262;8771;25409;5481;17308;1557,203;2423,6479;#N/A N/A;4164;10915;5567,8999;5886;7416,5;6448;4138;#N/A N/A;1647,871;31121;3602,6201;3001;-186;178,41;426,57;1568;608,2;#N/A N/A;3880;740;688;1327;587;1383;949;756;1839;;410,642;;835;1363;1352,3;377;1458,5;2867;1142;#N/A N/A;539,13;3239;239,514;929;-708;108,879;258,834;1042;344,5;#N/A N/A;861;540;410;909;394;881;652;333;1195;124,549;237,133;#N/A N/A;454;831;1020,3;224;698,2;1983;987;#N/A N/A;378,321;2175;147,44;602;#N/A N/A;#N/A N/A;#N/A N/A;#N/A N/A;#N/A N/A;#N/A N/A;#N/A N/A;#N/A N/A;#N/A N/A;#N/A N/A;#N/A N/A;#N/A N/A;#N/A N/A;#N/A N/A;#N/A N/A;#N/A N/A;#N/A N/A;#N/A N/A;#N/A N/A;#N/A N/A;#N/A N/A;#N/A N/A;#N/A N/A;#N/A N/A;#N/A N/A;#N/A N/A;#N/A N/A;#N/A N/A;#N/A N/A;#N/A N/A;#N/A N/A;#N/A N/A;#N/A N/A;#N/A N/A;#N/A N/A;#N/A N/A;#N/A N/A;#N/A N/A;#N/A N/A;#N/A N/A;#N/A N/A;#N/A N/A;#N/A N/A;#N/A N/A;#N/A N/A;#N/A N/A;#N/A N/A;#N/A N/A;#N/A N/A;#N/A N/A;#N/A N/A;#N/A N/A;#N/A N/A;#N/A N/A;#N/A N/A;#N/A N/A;#N/A N/A;#N/A N/A;#N/A N/A;#N/A N/A;-156;212,017;493,964;1676;800,1;#N/A N/A;#N/A N/A;1024;905;1607;776;1728;1315;1929;3035;;447,22;;1489;1909;#N/A N/A;588;2829,8;3388;1280;#N/A N/A;591,633;4634;86,359;1043
30.06.1997;1737;2930,5;6550,2212;3175;2832,6001;#N/A N/A;4608;12343;3817;5698;4870;8948;28386;5194;18872;2493,102;2373,9309;#N/A N/A;4422;10081;5909,2002;6432;7707,7998;5960;5075;#N/A N/A;1765,097;29990;3403,281;2913;-60;184,7;587,469;1320;694,2;#N/A N/A;3544;807;689;1287;653;1037;1141;991;2222;;279,977;;940;1279;1524,3;501;1847,9;2338;1443;#N/A N/A;577,058;8631;175,197;697;-56;115,7;357,878;1057;438,2;#N/A N/A;511;476;418;909;435;611;795;473;1446;288,942;155,754;#N/A N/A;520;823;1154,4;304;896,8;1645;1314;#N/A N/A;150,957;1965;108,101;457;#N/A N/A;#N/A N/A;#N/A N/A;#N/A N/A;#N/A N/A;#N/A N/A;#N/A N/A;#N/A N/A;#N/A N/A;#N/A N/A;#N/A N/A;#N/A N/A;#N/A N/A;#N/A N/A;#N/A N/A;#N/A N/A;#N/A N/A;#N/A N/A;#N/A N/A;#N/A N/A;#N/A N/A;#N/A N/A;#N/A N/A;#N/A N/A;#N/A N/A;#N/A N/A;#N/A N/A;#N/A N/A;#N/A N/A;#N/A N/A;#N/A N/A;#N/A N/A;#N/A N/A;#N/A N/A;#N/A N/A;#N/A N/A;#N/A N/A;#N/A N/A;#N/A N/A;#N/A N/A;#N/A N/A;#N/A N/A;#N/A N/A;#N/A N/A;#N/A N/A;#N/A N/A;#N/A N/A;#N/A N/A;#N/A N/A;#N/A N/A;#N/A N/A;#N/A N/A;#N/A N/A;#N/A N/A;#N/A N/A;#N/A N/A;#N/A N/A;#N/A N/A;#N/A N/A;#N/A N/A;-38;220,193;654,278;1463;888,9;#N/A N/A;#N/A N/A;1123;906;1555;840;1512;1545;2142;3435;;353,529;;1572;1828;#N/A N/A;720;3211,7001;2867;1606;#N/A N/A;638,214;10005;86,359;827
30.09.1997;1614;2958,9;6217,0449;3334;3006;#N/A N/A;5957;11371;3826;5586;4600;9355;28777;5520;18605;2324,29;2766,0991;#N/A N/A;4500;10164;5927,7002;5936;7373,8999;6155;4954;#N/A N/A;1868,717;28765;3303,1201;2747;-33;187;490,961;1356;720,5;#N/A N/A;4659;-979;701;1171;533;1739;1139;861;2004;;441,718;;959;1154;1463,6;495;421;2289;1243;#N/A N/A;602,47;2601;170,94;779;-161;116,1;235,878;663;448,9;#N/A N/A;872;-696;927;855;385;1087;792;411;1359;215,172;253,13;#N/A N/A;524;727;1197,2;300;-80,1;1574;1011;#N/A N/A;336,535;1820;105,44;596;#N/A N/A;#N/A N/A;#N/A N/A;#N/A N/A;#N/A N/A;#N/A N/A;#N/A N/A;#N/A N/A;#N/A N/A;#N/A N/A;#N/A N/A;#N/A N/A;#N/A N/A;#N/A N/A;#N/A N/A;#N/A N/A;#N/A N/A;#N/A N/A;#N/A N/A;#N/A N/A;#N/A N/A;#N/A N/A;#N/A N/A;#N/A N/A;#N/A N/A;#N/A N/A;#N/A N/A;#N/A N/A;#N/A N/A;#N/A N/A;#N/A N/A;#N/A N/A;#N/A N/A;#N/A N/A;#N/A N/A;#N/A N/A;#N/A N/A;#N/A N/A;#N/A N/A;#N/A N/A;#N/A N/A;#N/A N/A;#N/A N/A;#N/A N/A;#N/A N/A;#N/A N/A;#N/A N/A;#N/A N/A;#N/A N/A;#N/A N/A;#N/A N/A;#N/A N/A;#N/A N/A;#N/A N/A;#N/A N/A;#N/A N/A;#N/A N/A;#N/A N/A;#N/A N/A;#N/A N/A;8;224,3;561,495;1584;890,9;#N/A N/A;#N/A N/A;-473;921;1491;722;2127;1547;2048;3181;;485,51;;1579;1702;#N/A N/A;697;3523,7;2848;1392;#N/A N/A;670,008;3962;86,359;854
31.12.1997;1578;3054;5731,46;3792;2952,6001;#N/A N/A;4936;11727;3713;5630;5193;9641;35386;6339;23723;2403,5359;2255,272;#N/A N/A;4674;8386;6232;6341;7695,7002;6507;4701;#N/A N/A;2016,3149;34495;3485;3072;40;192;511;1613;671,9;#N/A N/A;3917;477;597;837;645;1688;1933;1492;3033;;252,706;;940;940;1523,4;588;1614,1;2393;1173;#N/A N/A;659,693;5770;143;738;47;119;307,41;1133;410,9;#N/A N/A;502;-498;366;630;451;1046;1287;755;2093;255,76;141,049;#N/A N/A;493;875;1242,3;244;940;1743;817;#N/A N/A;457,282;2500;61;558;#N/A N/A;#N/A N/A;#N/A N/A;#N/A N/A;#N/A N/A;#N/A N/A;#N/A N/A;#N/A N/A;#N/A N/A;#N/A N/A;#N/A N/A;#N/A N/A;#N/A N/A;#N/A N/A;#N/A N/A;#N/A N/A;#N/A N/A;#N/A N/A;#N/A N/A;#N/A N/A;#N/A N/A;#N/A N/A;#N/A N/A;#N/A N/A;#N/A N/A;#N/A N/A;#N/A N/A;#N/A N/A;#N/A N/A;#N/A N/A;#N/A N/A;#N/A N/A;#N/A N/A;#N/A N/A;#N/A N/A;#N/A N/A;#N/A N/A;#N/A N/A;#N/A N/A;#N/A N/A;#N/A N/A;#N/A N/A;#N/A N/A;#N/A N/A;#N/A N/A;#N/A N/A;#N/A N/A;#N/A N/A;#N/A N/A;#N/A N/A;#N/A N/A;#N/A N/A;#N/A N/A;#N/A N/A;#N/A N/A;#N/A N/A;#N/A N/A;#N/A N/A;#N/A N/A;#N/A N/A;68;231,6;589,263;1882;908,7;#N/A N/A;#N/A N/A;725;813;1036;818;2074;2389;2346;4448;;296,972;;1528;1597;#N/A N/A;790;3019,4;2976;1349;#N/A N/A;730,224;7176;86,359;868
31.03.1998;1405;4115;7123;3984;2804,8999;#N/A N/A;5903;12945;3700;5840;4794;8881;29819;5242;17618;2324;2223,9951;#N/A N/A;4521;6612;6058,7998;5220;7651,1001;6001;4457;#N/A N/A;2183,7561;25885;4094;3036;51;147;560;1867;640,4;#N/A N/A;4453;166;680;1448;617;1516;1220;849;1552;;143,768;;840;704;1439,6;321;1712;1946;1282;#N/A N/A;691,395;2175;279;742;55;132;337;1337;362,2;#N/A N/A;884;50;400;919;430;961;828;384;1036;195;73,118;#N/A N/A;460;507;1164,4;260;893,4;1273;857;#N/A N/A;64,578;1820;171;692;#N/A N/A;#N/A N/A;#N/A N/A;#N/A N/A;#N/A N/A;#N/A N/A;#N/A N/A;#N/A N/A;#N/A N/A;#N/A N/A;#N/A N/A;#N/A N/A;#N/A N/A;#N/A N/A;#N/A N/A;#N/A N/A;#N/A N/A;#N/A N/A;#N/A N/A;#N/A N/A;#N/A N/A;#N/A N/A;#N/A N/A;#N/A N/A;#N/A N/A;#N/A N/A;#N/A N/A;#N/A N/A;#N/A N/A;#N/A N/A;#N/A N/A;#N/A N/A;#N/A N/A;#N/A N/A;#N/A N/A;#N/A N/A;#N/A N/A;#N/A N/A;#N/A N/A;#N/A N/A;#N/A N/A;#N/A N/A;#N/A N/A;#N/A N/A;#N/A N/A;#N/A N/A;#N/A N/A;#N/A N/A;#N/A N/A;#N/A N/A;#N/A N/A;#N/A N/A;#N/A N/A;#N/A N/A;#N/A N/A;#N/A N/A;#N/A N/A;#N/A N/A;#N/A N/A;#N/A N/A;79;189;647;2146;844,3;#N/A N/A;4495;574;893;1036;821;1915;1661;1846;2775;;188,69;;1612;1280;#N/A N/A;502;3122,5;2576;1434;#N/A N/A;783,488;3519;86,359;860
30.06.1998;1402;4235;8139;4152;3180,8;#N/A N/A;6563;13389;3770;5874;5604;9277;33521;5248;18823;2100;2307,7339;#N/A N/A;4761;7814;6470,3999;5848;7927,7998;5927;5151;#N/A N/A;2389,989;25201;3887;3312;68;-679;770;1874;805,7;#N/A N/A;4611;412;641;1401;706;1112;1522;923;2114;;25,608;;1050;803;1587,2;583;1952,6;1606;1511;#N/A N/A;744,491;1751;204;844;101;-565;467;1357;357,2;#N/A N/A;847;258;386;1018;446;686;1034;415;1452;-274;-67,697;#N/A N/A;578;577;1316,1;360;1020,9;1172;1191;#N/A N/A;491,677;1620;127;628;#N/A N/A;#N/A N/A;#N/A N/A;#N/A N/A;#N/A N/A;#N/A N/A;#N/A N/A;#N/A N/A;#N/A N/A;#N/A N/A;#N/A N/A;#N/A N/A;#N/A N/A;#N/A N/A;#N/A N/A;#N/A N/A;#N/A N/A;#N/A N/A;#N/A N/A;#N/A N/A;#N/A N/A;#N/A N/A;#N/A N/A;#N/A N/A;#N/A N/A;#N/A N/A;#N/A N/A;#N/A N/A;#N/A N/A;#N/A N/A;#N/A N/A;#N/A N/A;#N/A N/A;#N/A N/A;#N/A N/A;#N/A N/A;#N/A N/A;#N/A N/A;#N/A N/A;#N/A N/A;#N/A N/A;#N/A N/A;#N/A N/A;#N/A N/A;#N/A N/A;#N/A N/A;#N/A N/A;#N/A N/A;#N/A N/A;#N/A N/A;#N/A N/A;#N/A N/A;#N/A N/A;#N/A N/A;#N/A N/A;#N/A N/A;#N/A N/A;#N/A N/A;#N/A N/A;#N/A N/A;100;-631;863;2122;1022,3;#N/A N/A;4673;808;855;1720;931;1537;1966;1639;3228;;126,128;;1714;1338;#N/A N/A;762;3398,4;2280;1679;#N/A N/A;841,662;3097;86,359;961
30.09.1998;1556;4360;7699;4193;3215;#N/A N/A;5735;12721;3766;5811;5173;9510;33509;6147;20095;1925;2504,8;#N/A N/A;4787;7665;6838,2998;5710;7909,8999;6731;4747;#N/A N/A;2597;24512;3841;3330;109;214;645;2082;816,3;#N/A N/A;4346;443;629;1359;496;1874;1438;690;2170;;289,6;;1055;857;1756,6;581;1130,1;2140;1237;#N/A N/A;773;1498;209;702;106;135;392;1683;482,2;#N/A N/A;653;347;178;964;336;1167;1009;296;1494;68;163,8;#N/A N/A;574;461;1367;348;-8,1;1559;888;#N/A N/A;512;1400;152;1397;#N/A N/A;#N/A N/A;#N/A N/A;#N/A N/A;#N/A N/A;#N/A N/A;#N/A N/A;#N/A N/A;#N/A N/A;#N/A N/A;#N/A N/A;#N/A N/A;#N/A N/A;#N/A N/A;#N/A N/A;#N/A N/A;#N/A N/A;#N/A N/A;#N/A N/A;#N/A N/A;#N/A N/A;#N/A N/A;#N/A N/A;#N/A N/A;#N/A N/A;#N/A N/A;#N/A N/A;#N/A N/A;#N/A N/A;#N/A N/A;#N/A N/A;#N/A N/A;#N/A N/A;#N/A N/A;#N/A N/A;#N/A N/A;#N/A N/A;#N/A N/A;#N/A N/A;#N/A N/A;#N/A N/A;#N/A N/A;#N/A N/A;#N/A N/A;#N/A N/A;#N/A N/A;#N/A N/A;#N/A N/A;#N/A N/A;#N/A N/A;#N/A N/A;#N/A N/A;#N/A N/A;#N/A N/A;#N/A N/A;#N/A N/A;#N/A N/A;#N/A N/A;#N/A N/A;#N/A N/A;132;257;742;2261;1044,1;#N/A N/A;4400;864;846;1720;719;2273;1953;1767;3079;;346,8;;1398;1420;#N/A N/A;765;2599,9;2874;1388;#N/A N/A;886;2788;86,359;878
31.12.1998;1710;4645;7258;5195;3220,7;#N/A N/A;4277;17099;3785;6470;5406;9934;40785;6521;25131;1639;1913;#N/A N/A;5063;6221;7530,7002;6009;8077,1011;7614;4458;#N/A N/A;2845;75598;4016,3999;3866;127;214;686;2714;760,9;#N/A N/A;3469;600;582;1007;434;1837;2366;1042;3328;;151,5;;979;-727;1856,9;500;1832,5;2820;937;#N/A N/A;815;3477;168,7;490;152;132;418;1983;348,5;#N/A N/A;44;465;211;102;301;1142;1559;622;2346;101;68,9;#N/A N/A;529;-206;1400,7;287;1059,1;2064;597;#N/A N/A;282;3234;104;634;#N/A N/A;#N/A N/A;#N/A N/A;#N/A N/A;#N/A N/A;#N/A N/A;#N/A N/A;#N/A N/A;#N/A N/A;#N/A N/A;#N/A N/A;#N/A N/A;#N/A N/A;#N/A N/A;#N/A N/A;#N/A N/A;#N/A N/A;#N/A N/A;#N/A N/A;#N/A N/A;#N/A N/A;#N/A N/A;#N/A N/A;#N/A N/A;#N/A N/A;#N/A N/A;#N/A N/A;#N/A N/A;#N/A N/A;#N/A N/A;#N/A N/A;#N/A N/A;#N/A N/A;#N/A N/A;#N/A N/A;#N/A N/A;#N/A N/A;#N/A N/A;#N/A N/A;#N/A N/A;#N/A N/A;#N/A N/A;#N/A N/A;#N/A N/A;#N/A N/A;#N/A N/A;#N/A N/A;#N/A N/A;#N/A N/A;#N/A N/A;#N/A N/A;#N/A N/A;#N/A N/A;#N/A N/A;#N/A N/A;#N/A N/A;#N/A N/A;#N/A N/A;#N/A N/A;#N/A N/A;150;266;782;2891;993,7;#N/A N/A;3553;892;804;1386;647;2279;2838;1902;5074;;196,3;;1479;-103;#N/A N/A;710;3376,6;3589;1111;#N/A N/A;931;7852;203,7085;568
31.03.1999;1530;4809;8952;4595;3035,1;#N/A N/A;5856;14392;3795;6739;4867;9231;34717;5475;20317;1974;2176,8;12834;4971;5487;7536,7;5382;7967;7103;4400;#N/A N/A;3171;33104;4691;3927;88;221;810;2229;698,4;#N/A N/A;4049;736;839;1675;352;1665;1588;753;2140;;242,1;;1025;329;1703,1;430;2078;2637;1144;#N/A N/A;857;1175;330;1149;135;132;489;1917;402,7;#N/A N/A;1007;469;384;1138;205;1040;916;226;1470;165;124,2;1773;575;329;1299,6;308;1142;1999;747;#N/A N/A;636;1484;200,2;815;#N/A N/A;#N/A N/A;#N/A N/A;#N/A N/A;#N/A N/A;#N/A N/A;#N/A N/A;#N/A N/A;#N/A N/A;#N/A N/A;#N/A N/A;#N/A N/A;#N/A N/A;#N/A N/A;#N/A N/A;#N/A N/A;#N/A N/A;#N/A N/A;#N/A N/A;#N/A N/A;#N/A N/A;#N/A N/A;#N/A N/A;#N/A N/A;#N/A N/A;#N/A N/A;#N/A N/A;#N/A N/A;#N/A N/A;#N/A N/A;#N/A N/A;#N/A N/A;#N/A N/A;#N/A N/A;#N/A N/A;#N/A N/A;#N/A N/A;#N/A N/A;#N/A N/A;#N/A N/A;#N/A N/A;#N/A N/A;#N/A N/A;#N/A N/A;#N/A N/A;#N/A N/A;#N/A N/A;#N/A N/A;#N/A N/A;#N/A N/A;#N/A N/A;#N/A N/A;#N/A N/A;#N/A N/A;#N/A N/A;#N/A N/A;#N/A N/A;#N/A N/A;#N/A N/A;#N/A N/A;112;276;917;2387;932,5;#N/A N/A;4146;1138;1062;2094;584;2080;2118;1584;3544;;328;;1667;914;1988;613;3582;3429;1334;#N/A N/A;963;3346;397,3915;1277
